rank,Youtuber,subscribers,videoViews,videoCount,category,started
580,570,14500000,9685321623,1081,4,2015
581,571,14500000,6378481319,1445,8,2017
582,572,14500000,5069817134,120858,9,2007
583,573,14500000,3644137000,630,4,2014
584,574,14500000,2385190008,51,4,2017
585,575,14500000,2655046551,2410,3,2016
586,576,14500000,2175911149,1312,4,2016
587,577,14500000,1694934569,362,4,2014
588,578,14500000,1416689094,370,4,2008
589,579,14400000,7526971366,67,0,2013
590,580,14400000,6164527861,20085,0,2014
591,581,14400000,6161605244,630,10,2006
592,582,14400000,4914128767,568,5,2016
593,583,14400000,5558117744,305,0,2011
594,584,14400000,7061275751,4281,5,2020
595,585,14400000,4812187551,539,5,2014
596,586,14400000,3919524704,478,10,2010
597,587,14400000,3733683543,852,0,2016
598,588,14400000,3400090845,428,5,2017
599,589,14400000,3005899595,205,10,2007
600,590,14400000,2346592288,297,4,2010
601,591,14400000,2013234398,401,4,2014
602,592,14300000,13310308313,1540,0,2008
603,593,14300000,9548597909,556,5,2020
604,594,14300000,4230572281,17878,3,2005
605,595,14300000,2081351545,2514,3,2017
606,596,14300000,2014152450,398,4,2013
607,597,14300000,1547521967,200,5,2017
608,598,14200000,8511385256,38,0,2016
609,599,14200000,7365642885,668,3,2016
610,600,14200000,6767838159,357,4,2016
611,601,14200000,4812994887,599,5,2014
612,602,14200000,4885163357,2554,0,2012
613,603,14200000,4533034236,167,8,2017
614,604,14200000,4189052804,3429,0,2014
615,605,14200000,2512937687,638,5,2014
616,606,14100000,17905081262,168,0,2011
617,607,14100000,9438904191,174684,9,2009
618,608,14100000,12083277333,155569,9,2005
619,609,14100000,5021164640,964,0,2014
620,610,14100000,5221155648,20582,4,2011
621,611,14100000,4265711762,396,4,2015
622,612,14100000,3851507257,1189,8,2014
623,613,14100000,3410001605,688,4,2013
624,614,14100000,3068619934,407,4,2017
625,615,14000000,3636809960,891,4,2013
626,616,14000000,13364784369,3996,3,2012
627,617,14000000,7752154061,649,4,2018
628,618,14000000,6272005457,1987,7,2015
629,619,14000000,4816638383,5446,3,2012
630,620,14000000,3152582636,777,6,2011
631,621,13900000,8013016996,2340,4,2017
632,622,13900000,8048210407,2519,4,2014
633,623,13900000,5606959168,3490,3,2013
634,624,13900000,5422335319,12258,6,2006
635,625,13900000,5778034318,6400,3,2012
636,626,13900000,5816295650,1628,3,2009
637,627,13900000,5056080182,45,0,2017
638,628,13900000,4427609230,1349,4,2006
639,629,13900000,3931202248,156,0,2012
640,630,13900000,2469411668,437,4,2014
641,631,13900000,2382268150,534,7,2014
642,632,13900000,1562768226,852,7,2008
643,633,13800000,2203376862,9960,6,2006
644,634,13800000,7685405847,408,5,2017
645,635,13800000,7013383323,224,10,2009
646,636,13800000,3835968267,96,0,2007
647,637,13800000,4057054946,1007,7,2010
648,638,13800000,2583408205,694,5,2013
649,639,13700000,225191097,344,3,2016
650,640,13700000,13822177908,70454,4,2011
651,641,13700000,7394853164,54722,4,2012
652,642,13700000,5660289473,362,4,2018
653,643,13700000,7269291992,562,5,2018
654,644,13700000,4285457943,515,5,2018
655,645,13700000,3101895284,1372,4,2011
656,646,13700000,2201167967,164,8,2009
657,647,13700000,1893820151,2919,4,2008
658,648,13700000,1882235841,373,7,2010
659,649,13600000,8727207691,53533,4,2011
660,650,13600000,8649139354,417,0,2007
661,651,13600000,5801199256,4452,3,2014
662,652,13600000,5325454303,3977,3,2011
663,653,13600000,1699669363,1436,1,2006
664,654,13500000,8306091825,826,8,2015
665,655,13500000,7508843409,2770,5,2019
666,656,13500000,5860777243,4599,0,2016
667,657,13500000,4977566807,463,1,2011
668,658,13500000,2116009610,854,5,2016
669,659,13500000,1926532344,2138,3,2014
670,660,13500000,1792757553,122,0,2012
671,661,13400000,15778544226,69731,4,2018
672,662,13400000,10047123955,352,4,2012
673,663,13400000,11589784991,71206,9,2006
674,664,13400000,9054727117,59,0,2011
675,665,13400000,7855326888,18325,4,2007
676,666,13400000,7301307830,371,0,2009
677,667,13400000,6045422126,1620,3,2015
678,668,13400000,4975821188,595,10,2014
679,669,13400000,4344884807,493,5,2014
680,670,13400000,4427208053,13,5,2017
681,671,13400000,3533680308,172,0,2007
682,672,13400000,3659613327,681,4,2007
